STRASSE,STRANAM,HSZ
900,Donaustr.,32
1733,Häusserstr.,21
2010,Hitzestr.,7
2010,Hitzestr.,11
2053,Höslstr.,5
2053,Höslstr.,10
2053,Höslstr.,14
2083,Hohenlindener Str.,8
2086,Hohensalzaer Str.,18
2116,Hornsteinstr.,16
2196,Innstr.,14
2197,Insterburger Str.,9
2220,Ismaninger Str.,63
2220,Ismaninger Str.,116
2221,Isolde-Kurz-Str.,4
2225,Jacobistr.,2
2241,Jankstr.,6
2241,Jankstr.,11
2241,Jankstr.,19
2248,Jensenstr.,4
2256,Johanneskirchner Str.,16
2394,Kattowitzer Str.,67
2444,Kirchheimer Str.,9
2444,Kirchheimer Str.,24
2516,Königsberger Str.,7
2516,Königsberger Str.,15
2516,Königsberger Str.,16
2535,Kolbergerstr.,5
2535,Kolbergerstr.,25
2541,Konitzer Str.,8
2541,Konitzer Str.,16
2585,Krenklstr.,5
2585,Krenklstr.,21
2585,Krenklstr.,27
2640,Kulmer Str.,17
2680,Lamontstr.,23
2709,Laplacestr.,5
2709,Laplacestr.,8
2794,Leutweinstr.,21
2866,Lohengrinstr.,30
2866,Lohengrinstr.,51
2886,Lublinitzer Str.,23
2901,Lüderitzstr.,21
2901,Lüderitzstr.,37
803,Daglfinger Str.,38
803,Daglfinger Str.,51
839,Denninger Str.,179
839,Denninger Str.,193
839,Denninger Str.,225
877,Dirschauer Str.,14
2355,Karlsbader Str.,1
877,Dirschauer Str.,56
894,Dominikstr.,17
894,Dominikstr.,23
894,Dominikstr.,44
911,Dorpater Str.,10
936,Düppeler Str.,10
936,Düppeler Str.,18
956,Ebersberger Str.,3
956,Ebersberger Str.,34
980,Effnerstr.,53
980,Effnerstr.,64
980,Effnerstr.,122
980,Effnerstr.,130
1010,Eifelstr.,3
1010,Eifelstr.,11
1130,Eylauer Str.,17
1130,Eylauer Str.,15
1130,Eylauer Str.,19
1130,Eylauer Str.,32
1196,Feuersteinstr.,2
1219,Flaschenträgerstr.,10
1219,Flaschenträgerstr.,6
1225,Flemingstr.,15
1225,Flemingstr.,37
1225,Flemingstr.,55
1225,Flemingstr.,58
101,Alsenweg,21
166,Am Hierlbach,39
268,Apenrader Str.,10
276,Arberstr.,21
310,Asgardstr.,28
481,Beetzstr.,15
498,Bennigsenstr.,9
502,Berberstr.,3
502,Berberstr.,14
507,Berenter Str.,5
507,Berenter Str.,13
507,Berenter Str.,23
555,Beuthener Str.,11
555,Beuthener Str.,23
555,Beuthener Str.,41
619,Böhmerwaldpl.,13
684,Bromberger Str.,14
759,Chamissostr.,4
788,Cosimastr.,81
788,Cosimastr.,91
803,Daglfinger Str.,26
803,Daglfinger Str.,36
1225,Flemingstr.,70
1225,Flemingstr.,98
1225,Flemingstr.,104
1265,Franz-Fischer-Str.,13
1351,Frithjofstr.,6
1441,Gellertstr.,16
1444,Gemingstr.,20
1521,Gleimstr.,3
1522,Gleißenbachstr.,7
1526,Gleiwitzer Str.,2
1542,Gnesener Str.,16
1542,Gnesener Str.,22
1580,Gotthelfstr.,36
1601,Gralstr.,7
1601,Gralstr.,9
1638,Gröbenstr.,2
1638,Gröbenstr.,5
1638,Gröbenstr.,27
1665,Grüntal,15
1730,Händelstr.,5
5139,Wiesenstr.,16
5170,Wilhelmshavener Str.,12
5613,Ehrenbreitsteiner Str.,10
5613,Ehrenbreitsteiner Str.,23
5625,Bunzlauer Str.,8
5646,Hugo-Troendle-Str.,56
18,Adalbert-Stifter-Str.,33
18,Adalbert-Stifter-Str.,47
18,Adalbert-Stifter-Str.,53
101,Alsenweg,11
1010,Eifelstr.,14
1010,Eifelstr.,17
1010,Eifelstr.,25
1029,Elbestr.,4
1030,Elbinger Str.,6
1042,Elsastr.,10
1066,Englschalkinger Str.,150
1066,Englschalkinger Str.,221
1127,Evastr.,32
1127,Evastr.,33
1130,Eylauer Str.,11
207,Am Perlacher Forst,182
2,Aaröstr.,22
684,Bromberger Str.,6
1068,Ennemoserstr.,7
2197,Insterburger Str.,19
